epochs,nll-oracle,nll-test,EmbeddingSimilarity,
1,9.862175,7.5122304,-0.17734111026058383,
6,8.510876,6.6998253,-0.19322066006394256,
10,8.371089,6.583148,-0.18977776880884048,
